frame,time,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,collision,min_distance,collision_info
0,0.0000,0.00,-90.00,30.00,0.00,-60.00,0.00,0,0.6340,""
1,0.0169,0.00,-89.24,31.78,0.00,-60.51,0.00,0,0.6340,""
2,0.0339,0.00,-88.47,33.56,0.00,-61.02,0.00,0,0.6340,""
3,0.0508,0.00,-87.71,35.34,0.00,-61.53,0.00,0,0.6340,""
4,0.0678,0.00,-86.95,37.12,0.00,-62.03,0.00,0,0.6341,""
5,0.0847,0.00,-86.19,38.90,0.00,-62.54,0.00,0,0.6341,""
6,0.1017,0.00,-85.42,40.68,0.00,-63.05,0.00,0,0.6341,""
7,0.1186,0.00,-84.66,42.46,0.00,-63.56,0.00,0,0.6342,""
8,0.1356,0.00,-83.90,44.24,0.00,-64.07,0.00,0,0.6342,""
9,0.1525,0.00,-83.14,46.02,0.00,-64.58,0.00,0,0.6343,""
10,0.1695,0.00,-82.37,47.80,0.00,-65.08,0.00,0,0.6344,""
11,0.1864,0.00,-81.61,49.58,0.00,-65.59,0.00,0,0.6345,""
12,0.2034,0.00,-80.85,51.36,0.00,-66.10,0.00,0,0.6345,""
13,0.2203,0.00,-80.08,53.14,0.00,-66.61,0.00,0,0.6346,""
14,0.2373,0.00,-79.32,54.92,0.00,-67.12,0.00,0,0.6347,""
15,0.2542,0.00,-78.56,56.69,0.00,-67.63,0.00,0,0.6348,""
16,0.2712,0.00,-77.80,58.47,0.00,-68.14,0.00,0,0.6349,""
17,0.2881,0.00,-77.03,60.25,0.00,-68.64,0.00,0,0.6351,""
18,0.3051,0.00,-76.27,62.03,0.00,-69.15,0.00,0,0.6352,""
19,0.3220,0.00,-75.51,63.81,0.00,-69.66,0.00,0,0.6353,""
20,0.3390,0.00,-74.75,65.59,0.00,-70.17,0.00,0,0.6355,""
21,0.3559,0.00,-73.98,67.37,0.00,-70.68,0.00,0,0.6356,""
22,0.3729,0.00,-73.22,69.15,0.00,-71.19,0.00,0,0.6358,""
23,0.3898,0.00,-72.46,70.93,0.00,-71.69,0.00,0,0.6359,""
24,0.4068,0.00,-71.69,72.71,0.00,-72.20,0.00,0,0.6361,""
25,0.4237,0.00,-70.93,74.49,0.00,-72.71,0.00,0,0.6363,""
26,0.4407,0.00,-70.17,76.27,0.00,-73.22,0.00,0,0.6365,""
27,0.4576,0.00,-69.41,78.05,0.00,-73.73,0.00,0,0.6367,""
28,0.4746,0.00,-68.64,79.83,0.00,-74.24,0.00,0,0.6368,""
29,0.4915,0.00,-67.88,81.61,0.00,-74.75,0.00,0,0.6370,""
30,0.5085,0.00,-67.12,83.39,0.00,-75.25,0.00,0,0.6373,""
31,0.5254,0.00,-66.36,85.17,0.00,-75.76,0.00,0,0.6375,""
32,0.5424,0.00,-65.59,86.95,0.00,-76.27,0.00,0,0.6377,""
33,0.5593,0.00,-64.83,88.73,0.00,-76.78,0.00,0,0.6379,""
34,0.5763,0.00,-64.07,90.51,0.00,-77.29,0.00,0,0.6382,""
35,0.5932,0.00,-63.31,92.29,0.00,-77.80,0.00,0,0.6384,""
36,0.6102,0.00,-62.54,94.07,0.00,-78.31,0.00,0,0.6387,""
37,0.6271,0.00,-61.78,95.85,0.00,-78.81,0.00,0,0.6389,""
38,0.6441,0.00,-61.02,97.63,0.00,-79.32,0.00,0,0.6331,""
39,0.6610,0.00,-60.25,99.41,0.00,-79.83,0.00,0,0.6240,""
40,0.6780,0.00,-59.49,101.19,0.00,-80.34,0.00,0,0.6141,""
41,0.6949,0.00,-58.73,102.97,0.00,-80.85,0.00,0,0.6033,""
42,0.7119,0.00,-57.97,104.75,0.00,-81.36,0.00,0,0.5917,""
43,0.7288,0.00,-57.20,106.53,0.00,-81.86,0.00,0,0.5793,""
44,0.7458,0.00,-56.44,108.31,0.00,-82.37,0.00,0,0.5661,""
45,0.7627,0.00,-55.68,110.08,0.00,-82.88,0.00,0,0.5521,""
46,0.7797,0.00,-54.92,111.86,0.00,-83.39,0.00,0,0.5374,""
47,0.7966,0.00,-54.15,113.64,0.00,-83.90,0.00,0,0.5219,""
48,0.8136,0.00,-53.39,115.42,0.00,-84.41,0.00,0,0.5056,""
49,0.8305,0.00,-52.63,117.20,0.00,-84.92,0.00,0,0.4886,""
50,0.8475,0.00,-51.86,118.98,0.00,-85.42,0.00,0,0.4710,""
51,0.8644,0.00,-51.10,120.76,0.00,-85.93,0.00,0,0.4526,""
52,0.8814,0.00,-50.34,122.54,0.00,-86.44,0.00,0,0.4335,""
53,0.8983,0.00,-49.58,124.32,0.00,-86.95,0.00,0,0.4138,""
54,0.9153,0.00,-48.81,126.10,0.00,-87.46,0.00,0,0.3935,""
55,0.9322,0.00,-48.05,127.88,0.00,-87.97,0.00,0,0.3726,""
56,0.9492,0.00,-47.29,129.66,0.00,-88.47,0.00,0,0.3510,""
57,0.9661,0.00,-46.53,131.44,0.00,-88.98,0.00,0,0.3289,""
58,0.9831,0.00,-45.76,133.22,0.00,-89.49,0.00,0,0.3062,""
59,1.0000,0.00,-45.00,135.00,0.00,-90.00,0.00,0,0.2830,""
